iter	Logloss
0	0.6876497374
1	0.6826059661
2	0.678280522
3	0.6745030809
4	0.6706105232
5	0.6666213999
6	0.6629933627
7	0.6600364307
8	0.6566437766
9	0.652739437
10	0.6497716712
11	0.6471569865
12	0.6443200476
13	0.6421409422
14	0.6396279692
15	0.6374384248
16	0.6353692034
17	0.633423853
18	0.6314892828
19	0.6299171294
20	0.6268908281
21	0.6255595059
22	0.623660671
23	0.6222733898
24	0.620335994
25	0.6182987931
26	0.6167310972
27	0.6150700605
28	0.6145396042
29	0.6138523426
30	0.6124369229
31	0.6102303049
32	0.6094734524
33	0.6081830387
34	0.6071088075
35	0.6061508598
36	0.6055687815
37	0.6050454355
38	0.6040172462
39	0.602712934
40	0.6020438443
41	0.6014268544
42	0.6007966976
43	0.5999921067
44	0.5989331446
45	0.5981099713
46	0.5974721306
47	0.5966419359
48	0.5957791327
49	0.5954212398
50	0.5946280654
51	0.5940293298
52	0.5933579909
53	0.5930165643
54	0.592276834
55	0.5915712885
56	0.5911740685
57	0.5904847269
58	0.5898556845
59	0.5889219181
60	0.5882572088
61	0.5877129016
62	0.5872005144
63	0.5869256408
64	0.5863573402
65	0.5858643748
66	0.5856918007
67	0.5851008799
68	0.5847355959
69	0.5841355549
70	0.5837288267
71	0.5832981078
72	0.5827045863
73	0.5822327451
74	0.581769049
75	0.5810768435
76	0.5807444028
77	0.5803479728
78	0.5799809897
79	0.5794322519
80	0.5790306007
81	0.5787510275
82	0.5784630344
83	0.5783416119
84	0.5781135293
85	0.5777638352
86	0.5774635491
87	0.5768276764
88	0.5764016382
89	0.576103093
90	0.5755354209
91	0.5747122641
92	0.5742932082
93	0.5738729746
94	0.5733364394
95	0.5728926121
96	0.5723142011
97	0.571985598
98	0.5717802972
99	0.5714440239
100	0.571157442
101	0.5709164494
102	0.5705643006
103	0.5701609044
104	0.5697126988
105	0.5695209382
106	0.569145836
107	0.5688296062
108	0.5685923979
109	0.5683351792
110	0.5678471187
111	0.5676556729
112	0.5674413096
113	0.567344184
114	0.5669729112
115	0.5666555665
116	0.5665452596
117	0.5661746341
118	0.566048506
119	0.5657024867
120	0.5654368062
121	0.5652876913
122	0.565069447
123	0.5647902198
124	0.5645339496
125	0.5640815889
126	0.5638338031
127	0.5635145403
128	0.5632617375
129	0.562858628
130	0.5626272824
131	0.562119005
132	0.5612898394
133	0.5608066348
134	0.5603782097
135	0.5600245872
136	0.559914417
137	0.5597182707
138	0.55942468
139	0.5590488775
140	0.5587600759
141	0.5585372812
142	0.5583583557
143	0.5582599908
144	0.5581191647
145	0.558018296
146	0.5575531764
147	0.5571851674
148	0.5570598075
149	0.5568575433
150	0.5567122079
151	0.5565599924
152	0.556440778
153	0.5560823783
154	0.5559958523
155	0.5558933666
156	0.5558228441
157	0.5553603916
158	0.5550580588
159	0.5548194285
160	0.5546404783
161	0.5545430993
162	0.5542718718
163	0.5537801781
164	0.5535841205
165	0.5533821463
166	0.5531844002
167	0.5530051227
168	0.5529255425
169	0.5527846207
170	0.552562441
171	0.5520115517
172	0.551750142
173	0.5514128821
174	0.5512528526
175	0.5510025323
